Frame,Left Iris Center X,Left Iris Center Y,Left Iris Radius,Right Iris Center X,Right Iris Center Y,Right Iris Radius,Left Pupil Center X,Left Pupil Center Y,Left Pupil Radius,Right Pupil Center X,Right Pupil Center Y,Right Pupil Radius
384,490,301,6,433,315,6,433,314,2,490,300,2
385,490,301,6,433,315,6,433,314,2,489,300,2
386,490,301,6,433,315,6,433,314,2,489,300,2
387,490,302,6,433,315,6,433,314,2,489,300,2
388,490,302,6,433,316,6,433,315,2,490,301,2
389,490,302,6,434,316,6,433,315,2,490,301,2
390,491,302,6,434,317,6,434,315,2,490,301,2
391,491,302,6,434,316,6,434,315,2,491,300,2
392,492,302,6,435,316,6,434,315,2,491,300,2
393,492,302,6,435,317,6,435,316,2,492,301,2
394,492,303,6,435,317,5,435,316,2,492,301,2
395,491,303,6,434,317,5,434,316,2,491,302,2
396,492,303,6,435,317,5,434,316,2,491,301,2
397,492,302,6,435,317,5,434,315,2,491,301,2
398,492,302,6,435,317,5,434,315,2,492,301,2
399,492,302,6,435,317,5,435,315,2,492,301,2
400,492,302,6,435,316,6,435,315,2,492,301,2
401,492,302,6,435,317,5,435,315,2,492,301,2
402,492,302,6,436,317,5,435,315,2,492,301,2
403,493,302,6,436,317,5,436,316,2,493,301,2
404,493,303,6,436,317,5,435,316,2,492,301,2
405,493,303,6,436,317,5,436,316,2,493,301,2
406,494,304,6,437,318,5,437,317,2,493,302,2
407,494,304,6,437,318,5,437,317,2,494,302,2
408,495,304,6,437,318,5,437,317,2,494,303,2
409,495,304,5,438,318,5,437,317,2,494,303,2
410,495,304,6,438,319,6,437,317,2,495,303,2
411,495,304,6,438,319,5,437,318,2,494,303,2
412,495,304,6,438,319,5,437,318,2,495,303,2
413,495,304,6,438,319,6,437,317,2,495,303,2
414,495,304,5,438,319,6,437,317,2,495,303,2
415,495,304,6,437,319,6,437,318,2,494,303,2
416,494,304,6,437,318,5,437,317,2,494,303,2
417,494,304,6,437,318,5,437,317,2,494,303,2
418,494,304,6,437,318,5,436,317,2,494,303,2
419,494,304,6,437,318,5,436,317,2,494,303,2
420,494,304,6,437,318,5,436,317,2,494,303,2
421,495,304,6,438,318,6,438,317,2,495,303,2
422,496,304,6,439,318,6,438,317,2,495,303,2
423,497,305,5,440,319,6,439,318,2,497,304,2
424,499,306,5,442,320,6,441,319,2,499,304,2
425,501,306,6,443,321,6,443,319,2,500,305,2
426,502,307,6,445,321,6,444,320,2,502,305,2
427,504,308,5,446,321,6,446,320,2,504,306,2
428,505,308,6,447,321,6,447,320,2,505,307,2
429,507,308,6,448,321,6,448,320,2,507,306,2
430,509,308,6,450,321,6,449,320,2,508,307,2
431,510,308,6,451,321,6,450,320,2,509,307,2
432,510,308,6,452,321,6,451,320,2,510,307,2
433,511,308,6,451,322,6,451,320,2,510,307,2
434,510,308,6,450,322,6,450,320,2,510,307,2
435,508,309,6,449,322,5,449,321,2,507,307,2
436,505,309,5,447,323,5,446,321,2,505,308,2
437,502,309,5,443,323,5,443,321,2,502,308,2
438,500,310,6,441,324,5,441,322,2,500,309,2
439,498,311,6,440,324,5,439,323,2,498,309,2
440,497,311,6,439,325,5,439,324,2,497,310,2
441,496,311,6,438,326,5,438,324,2,496,310,2
442,496,312,6,438,326,5,437,325,2,495,310,2
443,495,312,6,437,326,5,437,325,2,495,310,2
444,494,312,6,436,326,5,436,325,2,494,311,2
445,494,312,6,436,326,5,435,325,2,493,311,2
446,493,312,6,435,326,5,435,325,2,493,311,2
447,493,312,6,435,327,5,434,325,2,493,311,2
448,493,312,6,434,327,6,434,325,2,492,311,2
449,492,312,6,434,326,6,433,325,2,491,310,2
